,Formulas
925,La2 N2
926,La2 N2
927,La1 N1
928,La1 N1
929,La1 Y3
930,La1 Y3
931,La2 Br2
932,Ca1 La1
933,K10 La4
934,La7 Ni16
935,La2 Ir4
936,La3 Y3
937,La3 Y3
938,La2 Y2
939,La6 Ag2
940,La3 Ag1
941,La2 Te6
942,La2 Te6
943,La14 Ir6
944,La4 Co14
945,K1 La3
946,K1 La3
947,La4 Os8
948,La2 Os4
949,La8 Pt2
950,La1 Nd3
951,La2 Nd6
952,La1 Nd3
953,La4 Ge4
954,La4 Ge4
955,La4 H10
956,La4 H10
957,La4 Ni6
958,La1 Cd1
959,La6 Si4
960,Cs1 La3
961,Cs1 La3
962,La4 Mg34
963,La2 Au6
964,La1 Au3
965,La4 Sb2
966,La3 Ni9
967,La1 Ag3
968,Na6 La2
969,Na3 La1
970,La6 Te8
971,La1 Sn3
972,La8 S12
973,La16 S24
974,La4 B16
975,La2 Au4
976,La1 Mg12
977,La4 Te8
978,La8 Te16
979,La8 Te16
980,La8 Te16
981,La8 Te16
982,La2 Pu6
983,La1 Pu3
984,La6 Tl10
985,La2 O4
986,La2 Pd2
987,La4 Au4
988,La2 Au2
989,La2 Cl2
990,La1 Tl3
991,La1 Sb1
992,La1 Sb1
993,La3 Er1
994,La3 Ir9
995,La2 Ni4
996,La2 As6
997,La16 Te24
998,La4 Co6
999,La3 Tb1
1000,Mn3 B4
1001,Yb1 B2
1002,Tc14 B6
1003,Re4 B16
1004,Hg6 B2
1005,Pm2 B6
1006,Si8 B24
1007,Tc2 B2
1008,Tc1 B1
1009,Tc2 B2
1010,Tc2 B2
1011,Tc1 B1
1012,Tc1 B1
1013,Tc1 B1
1014,Gd1 B6
1015,U1 B2
1016,Tb1 B12
1017,Re14 B6
1018,Sr1 B2
1019,Lu4 B16
1020,U1 B12
1021,Sc1 B12
1022,Fe2 B1
1023,Fe4 B2
1024,Na3 B1
1025,Na3 B1
1026,Cr3 B4
1027,Mg4 B16
1028,Ti3 B4
1029,Ni23 B6
1030,B4 O2
1031,B64 H80
1032,B64 H80
1033,Li1 B11
1034,Li1 B11
1035,Li1 B11
1036,Li1 B11
1037,Li1 B11
1038,Co12 B3
1039,Co4 B2
1040,B4 Pd20
1041,B1 Pd5
1042,B1 Au3
1043,B5 W2
1044,B10 W4
1045,Li2 B6
1046,Li4 B12
1047,Cd2 B4
1048,Ba1 B6
1049,B18 Br18
1050,Zn3 B1
1051,Zn3 B1
1052,Pr8 B20
1053,Ti4 B2
1054,Ti4 B2
1055,B2 Ru6
1056,Nd1 B12
1057,V3 B100
1058,Be1 B2
1059,Pu1 B1
1060,Ho1 B6
1061,Cr1 B2
1062,Dy1 B12
1063,Li2 B18
1064,Na1 B1
1065,B2 Mo4
1066,B11 Rh18
1067,B4 O12
1068,B6 O18
1069,B2 Pd4
1070,La4 B16
1071,Tl3 B1
1072,Tl3 B1
1073,B2 Pt4
1074,B4 Ru4
1075,Be8 B2
1076,B12 P2
1077,Sm1 B2
1078,Nb1 B2
1079,Mg3 B1
1080,B40 H56
1081,Tc6 B2
1082,Ti1 B12
1083,Si2 B2
1084,Fe4 B4
1085,Fe2 B2
1086,Fe8 B8
1087,Fe4 B4
1088,Th3 B1
1089,K1 B1
1090,Mn1 B2
1091,Cd3 B1
1092,B80 H64
1093,Sr8 La2 Cl22
1094,Sr4 La1 Cl11
1095,La1 Ga3 Pd2
1096,La2 Fe24 O38
1097,La2 Fe24 O38
1098,Sr2 La2 I8
1099,La1 Os2 Rh1
1100,La4 Ti4 S12
1101,La2 Al3 Ge1
1102,La1 Mg14 V1
1103,La1 Mg14 V1
1104,La2 Si4 Ir4
1105,La1 Si2 Ir2
1106,La5 Ta22 O62
1107,La12 Sn5 S28
1108,La3 Mg3 Ag3
1109,La1 Ag2 Ge2
1110,La1 Mn1 Ni4
1111,La4 Se6 O48
1112,La2 Sn4 Ru1
1113,La4 Yb4 O12
1114,La4 Yb4 O12
1115,La1 Sc1 Au2
1116,Ba2 La4 Se8
1117,La2 Zn2 Ga2
1118,Li1 La1 Au2
1119,Li1 La1 Au2
1120,La14 Zn2 Ni4
1121,La16 Cd4 Co4
1122,La2 P1 I2
1123,La6 Fe4 S14
1124,La6 Fe4 S14
1125,La3 Al1 C1
1126,La2 Co2 Cu24
1127,La1 Mg1 Cd2
1128,La2 Sn2 Au2
1129,La8 P8 S8
1130,Ba18 La10 Br66
1131,La2 Cu1 Os1
1132,La2 Sb6 O18
1133,La6 Co6 O16
1134,La5 Sm1 S8
1135,Li12 La4 O12
1136,La4 Sb4 Rh4
1137,La8 Si4 O20
1138,La8 Si4 O20
1139,La12 Si6 O30
1140,La2 Mg1 Zn1
1141,La1 Mg3 O4
1142,Sr1 La1 Zn2
1143,La1 Mg2 Ni9
1144,La10 C4 Cl18
1145,La22 Mn6 C36
1146,La8 Fe56 C4
1147,La1 Zn2 Ni3
1148,La6 Re4 O18
1149,La4 Te4 Cl4
1150,La2 Te2 Cl2
1151,La8 Th4 Se20
1152,La4 Cr4 N12
1153,La8 Ni8 Sb24
1154,La1 Mn1 In1
1155,La1 Ce1 Mg14
1156,La1 Ce1 Mg14
1157,La2 Th5 O13
1158,La4 Te8 Pb2
1159,La8 Ni40 As24
1160,La2 Ga1 Ag1
1161,La1 Gd1 Al4
1162,La1 Ga3 Pd1
1163,Li1 La2 Cd1
1164,La4 In8 Cl20
1165,La28 Sb44 Br16
1166,La1 Mg1 Zn2
1167,La2 V6 O18
1168,La8 Zr4 S20
1169,La2 Ga2 Sb4
1170,La1 Ce1 Ru4
1171,La4 Y4 O12
1172,La2 Ir1 Pd1
1173,La8 Co4 O16
1174,La8 Co4 O16
1175,La1 Y1 In6
1176,La4 Se7 S1
1177,La4 Y1 C10
1178,La1 Er1 Se2
1179,La2 Cu4 Sn4
1180,La8 Ge6 S24
1181,La3 Ni2 Sn7
1182,La2 Hf2 Mg12
1183,La2 Hf2 Mg12
1184,La6 Ga24 Os6
1185,La4 Dy1 C10
1186,La8 Ti4 O20
1187,La8 U4 Se20
1188,La6 Zn6 Co12
1189,Rb3 La1 Cl6
1190,La3 Mg3 Tl3
1191,La1 Mg1 Tl1
1192,La4 Mg4 S12
1193,La2 Mg2 S6
1194,La6 Mg6 S18
1195,La4 In2 Cu4
1196,Na1 La1 Tl2
1197,La1 In1 Hg2
1198,La2 Se1 O2
1199,La6 Os1 I10
1200,La2 P2 Rh2
1201,La3 Si4 Ni4
1202,Sr1 La1 B12
1203,La1 B1 Pd3
1204,La2 Cu1 Si3
1205,La1 Eu1 Hg2
1206,La1 Y1 Tl2
1207,La3 Si6 Pd20
1208,La1 Ho1 Tl2
1209,K8 La4 Cl20
1210,Ca3 La1 Si8
1211,Ba1 La2 Cl8
1212,Ba2 La4 Cl16
1213,Ba2 La4 Cl16
1214,La4 Sb4 Se12
1215,La4 Te4 As4
